07-21 18:45:18: Training starting...
07-21 18:45:19: New best reward 34.0 (-100.0%) at episode 0, saving model...
07-21 18:45:20: New best reward 44.0 (+29.4%) at episode 17, saving model...
07-21 18:45:20: New best reward 46.0 (+4.5%) at episode 18, saving model...
07-21 18:45:20: New best reward 47.0 (+2.2%) at episode 43, saving model...
07-21 18:45:20: New best reward 59.0 (+25.5%) at episode 48, saving model...
07-21 18:45:20: New best reward 78.0 (+32.2%) at episode 110, saving model...
07-21 18:45:22: New best reward 81.0 (+3.8%) at episode 337, saving model...
07-21 18:45:42: New best reward 89.0 (+9.9%) at episode 3205, saving model...
07-21 18:45:43: New best reward 103.0 (+15.7%) at episode 3218, saving model...
07-21 18:45:43: New best reward 132.0 (+28.2%) at episode 3221, saving model...
07-21 18:45:46: New best reward 156.0 (+18.2%) at episode 3415, saving model...
07-21 18:45:54: New best reward 158.0 (+1.3%) at episode 3971, saving model...
07-21 18:45:56: New best reward 211.0 (+33.5%) at episode 4025, saving model...
07-21 18:45:56: New best reward 223.0 (+5.7%) at episode 4040, saving model...
07-21 18:45:57: New best reward 225.0 (+0.9%) at episode 4075, saving model...
07-21 18:45:59: New best reward 294.0 (+30.7%) at episode 4143, saving model...
07-21 18:46:52: New best reward 477.0 (+62.2%) at episode 7954, saving model...
07-21 18:46:53: New best reward 492.0 (+3.1%) at episode 7977, saving model...
