07-21 21:45:38: Training starting...
07-21 21:45:39: New best reward -8.7 (-100.0%) at episode 0, saving model...
07-21 21:45:39: New best reward -6.9 (-20.7%) at episode 1, saving model...
07-21 21:45:39: New best reward -6.3 (-8.7%) at episode 2, saving model...
07-21 21:45:42: New best reward -5.1 (-19.0%) at episode 38, saving model...
07-21 21:45:43: New best reward -2.1 (-58.8%) at episode 56, saving model...
07-21 21:45:51: New best reward -0.9 (-57.1%) at episode 100, saving model...
07-21 21:46:10: New best reward 0.4 (-144.4%) at episode 172, saving model...
07-21 21:46:36: New best reward 2.1 (+425.0%) at episode 257, saving model...
07-21 21:46:57: New best reward 2.6 (+23.8%) at episode 331, saving model...
07-21 21:46:57: New best reward 4.9 (+88.5%) at episode 332, saving model...
07-21 21:50:30: New best reward 5.7 (+16.3%) at episode 1078, saving model...
07-21 21:51:01: New best reward 6.0 (+5.3%) at episode 1165, saving model...
07-21 21:51:14: New best reward 6.2 (+3.3%) at episode 1201, saving model...
07-21 21:51:41: New best reward 8.8 (+41.9%) at episode 1269, saving model...
07-21 21:52:18: New best reward 9.1 (+3.4%) at episode 1369, saving model...
